comment,cleaned_comment,predicted_sentiment
"Kalau 03 tidak di ketek Banteng saya mutlak pilih 03. 
Sayangnya kondisi berbeda..Jokowi dari asalnya adalah tokoh, beda dengan Ganjar yang kader..sangat bahaya kalau banteng menang.
Tapi saya juga ga mau pilih 01 yang ahli membual , dan tukang slepet..bahkan Gus Dur aja di slepet.

Paling minim dzolim ada di paslon 02 walaupun saya masih setengah hati..tapi daripada yang buruk lainnya..ini lebih mendingan",tidak di ketek saya mutlak pilih kondisi beda dari asal adalah tokoh beda dengan yang kadersangat bahaya kalau banteng menang saya juga ga mau pilih yang ahli bual dan tukang slepetbahkan aja di slepet minim dzolim ada di paslon walaupun saya masih tengah hatitapi daripada yang buruk lainnyaini lebih mending,negative
Walaupun kata org nomor dua GK bisa ngomng sy ttp nomor 2 terkadang org yg BS ngobrol bisa bicara bisa ngelesh,kata org nomor dua gk bisa ngomng sy ttp nomor terkadang org yg bs ngobrol bisa bicara bisa ngelesh,negative
Semua memuji Gibran Raka tp yg jadi presiden kan Prabowo? Klw menang no 2...Semoga Allah yg menenntukan yg tepat bwt NKRI..,puji tp yg jadi presiden kan menang no yg menenntukan yg tepat bwt nkri,negative
Si gibran selalu pake emosi kalo bicara. ..mu gkin otak etik nya udah ancur..,gibran selalu pake emosi kalo bicara mu gkin otak etik nya udah ancur,negative
Hbbr omong kosong persis nepo baby.,omong kosong persis nepo baby,negative
"Min Imin, ngomong opo sih 🤣🤣",ngomong opo sih,negative
"Meja moderator harusnya juga ada kamera CCTV, takutnya pertanyaanya di tukar",moderator harus juga ada kamera cctv takut pertanyaanya di tukar,negative
"Yg masih kader pdip jg bisa jd cawapresnya gerindra, lupa ya.....kata kakek boleh2 aja dlm politik.
Tapi ya namanya manusia kadang mau nyubit tapi gk mau di cubit😂😂",masih kader pdip jg bisa jd cawapresnya gerindra lupa yakata kakek boleh aja dlm politik ya nama manusia kadang mau nyubit tapi gk mau di cubit,negative
Parah tu udah tua gak bisa jawab hebat mas Gibran 👍👍👍👍👍,tu udah tua gak bisa jawab hebat mas,negative
Anak karbitan tak beradap tak ad Etika songong sombong ilmu belum seberapa Gayanya selangitttt...tak Pantas km jd wakil Rakyatt,karbitan tak adap tak ad songong sombong ilmu belum berapa selangitttttak km jd wakil,negative
alah d jajarannya jg ada sby n anaknya ahy yg dr dl ga dukung lah,alah d jajar jg ada sby n anak ahy yg dr dl ga dukung lah,negative
"modal percaya diri doang, sebenernya yang dibahas standart doang gibran itu",modal percaya diri doang sebenernya yang bahas standart doang gibran itu,negative
Kayak gitu megang negara remuk negaranya di bodohi orang asing.......kwkwkwkwkwkwk,gitu megang negara remuk negara di bodoh orang asingkwkwkwkwkwkwk,negative
"kalau secara wakil iya si gibran paling top paling spesifik di banding yang lain .. suka malu aku jadi ,, ya sudahlah pandai pandai menilai dan memilih",kalau cara wakil iya si gibran paling top paling spesifik di banding yang lain suka malu aku jadi ya sudah pandai pandai nilai dan pilih,negative
Prabowo Gibran dulu ahh,dulu ahh,negative
"dari dulu selalu berharap siapapun yg jadi presiden, bisa benar2 memberantas korupsi, sudah terlalu banyak tikus berdasi di negri ini",dari dulu selalu harap siapa yg jadi presiden bisa benar berantas korupsi sudah terlalu banyak tikus das di negri ini,negative
"Keren banget jawabannya mas Gibran, cerdas, tegas, jelas, terstruktur.. semakin yakin pilih no. ✌️",banget jawab mas cerdas tegas jelas struktur makin yakin pilih no,negative
MAKIN YAKIN PRABOWO GIBRAN,makin yakin prabowo gibran,negative
jinggelnya kurang greget.. masih legend jingle yg lama,jinggelnya kurang greget masih legend jingle yg lama,negative
"Diam di caci, bicara di takuti. Panik ga ? panik ga ? Panik la masa enggak 😅😅😅",di caci bicara di takut ga panik ga la masa enggak,negative
Kan muhaimin sal nyeplos gak tanggung jawab dan nyalinya kecil,muhaimin sal nyeplos gak tanggung jawab dan nyali kecil,negative
"Aneh sih Paslon no.1.. kayak terlalu banyak MENGHAYAL, kyk dulu di jkt.. Air dimasukkan ke tanah.. itu Khayalan tingkat tinggi!! Ide itu hal yg bisa dan bahkan mudah utk dilaksanakan.. ini idenya kebanyakan HAYALAN!! Jd yg penting NGOMONG, mslh eksekusi ya kl bisa, kl gak ya cari KALIMAT YG PAS LAGI BUAT NGELES.. SEPERTI ""LEBIH BAYAR"". 😂😂😂 Emang gak pantas PASLON NO.1 MEMIMPIN INDONESIA!",sih no kayak terlalu banyak menghayal kyk dulu di jkt masuk ke tanah itu tingkat tinggi itu hal yg bisa dan bahkan mudah utk laksana ini ide banyak hayalan yg penting ngomong mslh eksekusi ya kl bisa kl gak ya cari kalimat yg pas lagi buat ngeles seperti lebih bayar gak pantas paslon no pimpin indonesia,negative
Intinya slepet. Udh itu aja,slepet itu aja,negative
Giliran d serang kok pada marah2...,d serang kok pada marah,negative
debat cawapres cuma plngkap..yg pling utama itu siapa presidennya bos...cuma Anies yg mmg brkualitas,debat cawapres cuma plngkapyg pling utama itu siapa presiden boscuma yg mmg brkualitas,negative
"Tolong yg tau bisa jelasin , jujur gua kaya ga habis pikir sm pak jokowi akhir"" ini , dulu saat debat capres lawan pak prabowo beliau yg bilang ""jangan pilih pemimpin yg mempunyai rekam jejak melakukan pelanggaran HAM"" tp setelah beliau jd presiden beliau mengangkat pak prabowo jd mentri pertahanan?WHAT?bisa jelasin?disalahsatu janji jokowi soal akan menuntaskan kasus aktivis yg hilang seolah bikin makin ga sentuh dg pak prabowo diangkat jadi mentri apalagi MENTRI PERTAHANAN?",yg tau bisa jelasin jujur gua kaya ga habis pikir sm pak jokowi akhir ini dulu saat debat capres lawan pak prabowo beliau yg bilang jangan pilih pimpin yg punya rekam jejak laku langgar ham tp telah beliau jd presiden beliau angkat pak prabowo jd tri pertahananwhatbisa jelasindisalahsatu janji jokowi soal akan tuntas kasus aktivis yg hilang olah bikin makin ga sentuh dg pak prabowo angkat jadi tri apalagi tri tahan,negative
"sumpah ini jubir 01 sama 03 gabisa ya ngomongin perwakilannya masing2? berisik bgt anjir yg keluar dri mulut mereka noise semua wkwkwkw pak fadli sibuk pemerataan paham ke publik, yg dua cuma debat nyinyir anjir. gausah ngomongin negara maju kalo moral berdebat nya aja ga substantif dan cuma nyerang:)",sumpah ini jubir sama gabisa ya ngomongin wakil masing berisik bgt anjir yg keluar dri mulut mereka noise semua wkwkwkw pak fadli sibuk perata paham ke publik yg dua cuma debat nyinyir anjir gausah ngomongin negara maju kalo moral debat nya aja ga substantif dan cuma nyerang,negative
"Awaas kita orang muslim terkecuali orang kapir.   Orang muslim punya kaidah...1
الفرع يتبع الصل.
2
دلالة الحال أفصح من دلالة المقال
Artinya pasti semua tau kalo orang muslim
Ini dua""nya ada dipslon no 2",kita orang muslim kecuali orang kapir muslim punya kaidah pasti semua tau kalo orang muslim dua ada dipslon no,negative
"Ut Gibran, lain yg ditanya lain yg dijawab",lain yg tanya lain yg jawab,negative
Pemenang akan merayakan pecundang akan menjelaskan ✌️,akan raya cundang akan jelas,negative
Ini jawaban Gibran bgusbgus y. Pdhl semptdi remehkan,jawab bgusbgus y semptdi remeh,negative
"Srius dana 1M aja desa gitu2 aja ga ada perubahan
Ga tau itu duit buat bikin apa aja.",dana m aja desa gitu aja ga ada ubah tau itu duit buat bikin apa aja,negative
"1:10:11 ada yang bilang ""udah"" itu suara apa ya?",ada yang bilang udah itu suara apa ya,negative
Melihat sigibran ini sangat menjijikan..yg spt ini mau jadi wapres..ngk relaaaa,sigibran ini sangat menjijikanyg spt ini mau jadi wapresngk relaaaa,negative
Rakyat ga butuh bualan janji2!! Yg cerdas pilih yg bualannya paling masuk akal!,ga butuh bual janji cerdas pilih yg bual paling masuk akal,negative
"Perhatikan baik2 etika bukan tentang bagaimana proses penyampaian dan penanggapan debat. Karena debat memang sudah seharusnya beradu argumen dan mengulik jawaban yang sesuai dengan pertanyaan. Tapi etika adalah perilaku murni yang di tunjukan ketika akhir debat. Perhatikan dan Nilai sendiri, jika kalian cerdas maka seharusnya kalian paham ✨",baik etika bukan tentang bagaimana proses sampai dan tanggap debat debat memang sudah harus adu argumen dan ulik jawab yang sesuai dengan tanya etika adalah perilaku murni yang di tunjuk ketika akhir debat dan sendiri jika kalian cerdas maka harus kalian paham,negative
Sok  kali Gibran dan nampak emosi saya tidak suka pemimpin yg sombong.,kali dan nampak emosi saya tidak suka pimpin yg sombong,negative
Anak muda yg di remehkan ternyata mampu melampaui 2 org tua yg berpengalaman😂,muda yg di remeh nyata mampu lampau org tua yg alam,negative
"Drana yg terjawab jibran dianggab bodoh  kok bisa keok mereka berdua ternysta gibran ngga sombong .,tibggi hati tapi dia mau merendahkan diri karena dia hanya ingin menjawsb pada saat yg tepat malam ini semua masyarakat past puas dgn pensmpilannya cara bicaranya tergambar bahwa ini akan tewujud sesuai dgn perkataannya. Mantap Gibran.",yg jawab jibran dianggab bodoh kok bisa keok mereka dua ternysta gibran ngga sombong tibggi hati tapi dia mau rendah diri karena dia hanya ingin menjawsb pada saat yg tepat malam ini semua masyarakat past puas dgn pensmpilannya cara bicara gambar bahwa ini akan tewujud sesuai dgn kata,negative
Cawapres gemblung.ndak punya otak dan ndak punya adab.,gemblungndak punya otak dan ndak punya adab,negative
Mahfud itu Profesor lho...hadeeuh beda kelas laah sama Km,itu lhohadeeuh beda kelas laah sama,negative
gibran ora spele bolo....😂,gibran ora spele bolo,negative
"Beda level emang, jauh. Di kira stand up comedi x ya 😂",level emang jauh kira stand up comedi x ya,negative
"Jangan memilih pemimpin karena kasian, karena mereka ngk perlu dikasihani yg perlu dikasihani itu adalah diri kalian. Pilihlah pemimpin yg jelas programnya dan tidak menyusahkan rakyat dengan menaikan pajak rakyat kecil. Pilihlah pemimpin yg tidak hanya memperkaya penjabat tapi juga mensejahterakan rakyat",pilih pimpin karena kasi karena mereka ngk perlu kasihan yg perlu kasihan itu adalah diri kalian pimpin yg jelas program dan tidak susah rakyat dengan naik pajak rakyat kecil pimpin yg tidak hanya kaya jabat tapi juga sejahtera rakyat,negative
"Genjod boleh. ..asal jgn merugikan rakyat...dulu recever"" mp 2...musnah   karna smua stasiun tv gak bisa...berdalih recever mp 4 yg bisa...terus yg recever mp 2...buat apa kalau gak guna itu kan beli",boleh asal jgn rugi rakyatdulu recever mp musnah karna smua stasiun tv gak bisaberdalih recever mp yg bisaterus yg recever mp buat apa kalau gak guna itu kan beli,negative
Hilang respect ke prabowo gara2 bocil gibran,respect ke prabowo gara bocil gibran,negative
Slepet slepet slepet mulu pak amin apa sih slpet itu,slepet slepet mulu pak amin apa sih slpet itu,negative
Cak Imin kok gak SHALOM? nggak OM SWASTYASTU? nggak NAMO BUDHAYA?? nggak salam KEBAJIKAN?? nggak mimikutimimikutipan (salam nya minion)..??,kok gak shalom nggak om swastyastu nggak namo budhaya nggak salam kebaji nggak mimikutimimikutipan salam nya minion,negative
"Harusnya gibran jelasin apa maksud pertanyaaannya, baik SGIE atau Carbon² td... Jujur, klo kyk gitu ga kliatan bijaksana, lebih kyk menjebak nggak sih?..
Cak imin sama pak mahfud juga harusnya perbanyak literasi..

Overall good debatnya",gibran jelasin apa maksud pertanyaaannya baik sgie atau carbon td klo kyk gitu ga kliatan bijaksana lebih kyk jebak nggak sih imin sama pak mahfud juga harus banyak literasi good debat,negative
Prabowo/Gibran di hati ku,di hati ku,negative
Smngat mas Gibran NTB all in ✌🏽💙,mas ntb all in,negative
"Pilpres periode kemarin sangat optimis kpd jokowi krna sosok dan prinsip serta gagasannya ,untuk saat ini sy rasa yg layak dan bisa meneruskan gagasan jokowi hanyalah Prabowo Gibran ,MUTLAK !!!!
dan secara tegas menolak capres yg kemarin memimpin jateng ,sy sbg warga jateng merasa di jateng semakin terpuruk apalagi di daerah sy sedang terjadi PHK masal dan tidak ada hal yg solutif seolah cuek dgn keadaan tsb ,sampai uang pesangon banyak yg di sunat tp seolah pemerintah buta akan hal tsb ,hak warganya saja tidak di perjuangkan ,hanya omong kosong saja yg ada",periode kemarin sangat optimis kpd jokowi krna sosok dan prinsip serta gagas untuk saat ini sy rasa yg layak dan bisa terus gagas jokowi hanya mutlak dan cara tegas tolak capres yg kemarin pimpin jateng sy sbg warga jateng rasa di jateng makin puruk apalagi di daerah sy sedang jadi phk masal dan tidak ada hal yg solutif olah cuek dgn ada tsb sampai uang sangon banyak yg di sunat tp olah perintah buta akan hal tsb hak warga saja tidak di juang hanya omong kosong saja yg ada,negative
Naikkan pajak lagi,pajak lagi,negative
"Liat dan denger lagi, aku ulang lagi dan lagi... Memang debat untuk menjatuhkan lawan tapi dengan indahnya hal itu diminimalisir oleh si ""bocah ingusan"" (mereka yg kasih julukan itu, bukan saya😊) tanpa tendensi menjatuhkan/counter dan atau menunjukan kelebihannya. 👍👍👍 ga salah pilihanku🎉",dan denger lagi aku ulang lagi dan lagi debat untuk jatuh lawan tapi dengan indah hal itu diminimalisir oleh si bocah ingus mereka yg kasih juluk itu bukan saya tanpa tendensi menjatuhkancounter dan atau tunjuk lebih ga salah pilih,negative
"Pendukung 02 please lah pinteran dikit, jgn gibran2 amat",please lah pinteran dikit jgn gibran amat,negative
"Dua wacapres anak buah Jokowi pada serba salah, mau debat keras Gibran sedangkan dia masih dalam istana 😅😅",wacapres anak buah pada serba salah mau debat keras sedang dia masih dalam istana,negative
Dari awal cara jadi cawapres salah...bagaimana k3belakangnya.,awal cara jadi cawapres salahbagaimana kbelakangnya,negative
"Mantap gibran debatnya hebat , melihat debat ini saya pilih prabowo dan gibran 👍",gibran debat hebat lihat debat ini saya pilih prabowo dan gibran,negative
Jauh berwawasan tanpa baca teks god❤,wawas tanpa baca teks god,negative
"Amin goblok udah di terangkan semuanya,uda di bilang secara Nasinal. Sampai dampaknya udah di kash tau,Amin Amin gimana otaknya",goblok udah di terang semuanyauda di bilang cara dampak udah di kash tau gimana otak,negative
Ditanya 23% dari apbn atau apbd malah bahas kebun binatang. Kurang2in gak nyambungnya mas gibran,dari apbn atau apbd malah bahas kebun binatang rangin gak nyambungnya mas gibran,negative
Mahfud MD menguraikan da menjelaskan dengan tegas dan pasti maka kami   rangkul  nomor 3  yang kami pilih .❤❤❤,md urai da jelas dengan tegas dan pasti maka kami rangkul nomor yang kami pilih,negative
"emg keren mas gibran, tpi maaf saya milih anies 🙏",emg keren mas gibran tpi maaf saya milih anies,negative
Hati hati jgn tertipu dg janji janji kata kata indah nya setiap debat,hati jgn tipu dg janji janji kata kata indah nya tiap debat,negative
Mas gibrann aku padamuuuuu😍❤️❤️,gibrann aku padamuuuuu,negative
Pingin tau suara butet setelah debat wakil presiden,tau suara butet telah debat wakil presiden,negative
"🤣 maping nya masih berantakan, antara solusi yg ditawarkan juga masih tabrakan dengan solusi di bidang yg lain, jadi emang masih blom punya rumus yg pasti, ending eksekusinya juga pasti bakalan tabrakan antara teknis + regulasi + investasi 🤣 padahal setiap bertambah 1 tahun maka semua tingkat kerumitan dari masing2 problem level nya naik sekitar 10% sedangkan solusi yg ditawarkan itu hanya bisa mengatasi masalah sekitar 20% tanpa ada penambahan bahkan bisa minus untuk golongan di piramida paling bawah, intinya ya gak ada solusi 🤣 berarti gw masih golput untuk sementara 🤣",maping nya masih beranta antara solusi yg tawar juga masih tabrak dengan solusi di bidang yg lain jadi emang masih blom punya rumus yg pasti ending eksekusi juga pasti bakal tabrak antara teknis regulasi investasi padahal tiap tambah tahun maka semua tingkat kerumit dari masing problem level nya naik sekitar sedang solusi yg tawar itu hanya bisa atas masalah sekitar tanpa ada tambah bahkan bisa minus untuk golong di piramida paling bawah inti ya gak ada solusi arti gw masih golput untuk sementara,negative
Ditanya A jawab Z. Siapa tuh??,jawab tuh,negative
"Gak masalah sih menurut saya, segala sesuatu bisa berubah, sama kayak gibrankan dia bilang dulu gak mau terjun politik, bapaknya juga bilang gitu tapi nyatanya dia terjun juga😂😂. Trus si samsul itu gagasan dia ap sih, rencananya juga trus  substansinya apa coba ?, kalau cuman sekedar menjelaskan siapapun bisa apalagi kalau sudah latihan. Terkesan menyampaikan sebuah hafalan textbook banget, gk ada yang spesial sebenarnya. Cak imin dan prof mahfud punya gagasan, rencana, substantif. Trus pertanyaan2 yang disampaikan samsul itu kayak pertanyaan cerdas cermat😂 dan diperaturan yang masalah sgie, itupun dia nyebut singkatan dan menjabarkan juga baca teks, ternyata juga di peraturan debat kpu menyebut singkatan itu gk boleh loh, apalagi cara baca singkatannya juga salah situ cuman aneh juga kok dibolehkan ya sama kpu 😂, debat capres memang paling top sih menurut gw",masalah sih turut saya segala sesuatu bisa ubah sama kayak gibrankan dia bilang dulu gak mau terjun politik bapak juga bilang gitu tapi nyata dia terjun juga si samsul itu gagas dia ap sih rencana juga trus substansi apa coba kalau cuman dar jelas siapa bisa apalagi kalau sudah latih sampai buah hafal textbook banget gk ada yang spesial benar imin dan prof mahfud punya gagas rencana substantif tanya yang sampai samsul itu kayak tanya cerdas cermat dan atur yang masalah sgie itu dia nyebut singkat dan jabar juga baca teks nyata juga di atur debat kpu sebut singkat itu gk boleh loh apalagi cara baca singkat juga salah situ cuman aneh juga kok boleh ya sama kpu debat capres memang paling top sih turut gw,negative
Jadi gk yakin sama 02,gk yakin sama,negative
Amin tetep di hati,tetep di hati,negative
cawapres-cawapres ini kadang pada grogi dan belum stabil fsikologisnya terlihat kadang tidak begitu menangka pertanyaan dengan baik,cawaprescawapres ini kadang pada grogi dan belum stabil fsikologisnya lihat kadang tidak begitu nangka tanya dengan baik,negative
"Penjelasan Gibran tidak sesuai Pertanyaan
Gimna sih mau menjadi cawapres kok tidak nyambung",tidak sesuai sih mau jadi cawapres kok tidak nyambung,negative
"Yg nyapres 3
Yg kalah 2
Yg menang 1 👍
🤲☝️",nyapres kalah menang,negative
Masalahnya terbesar tenyata tentang penegak hukum yang jadi beking mafia yang harus di lakukan berarti harus dilakukan reformasi penegak hukum biar menjadi peduli negara dan rakyat bukan petantang petenteng godain bidan dan suster,besar tenyata tentang tegak hukum yang jadi beking mafia yang harus di laku arti harus laku reformasi tegak hukum biar jadi peduli negara dan rakyat bukan tantang petenteng godain bidan dan suster,negative
"Mewakili msyrakt morowali, jka psgn 01 mnang, tolong prhtkn dampk lingkungn yg trjd d sputran pabrik imip dan prtmbngn2 dsktrx,jlnn rusak brdebu dan becek,srta semrautnya lalu lints akibt tdk adax angktan pekerja pabrik...sangat meresahkn masyrakt.",msyrakt morowali jka psgn mnang tolong prhtkn dampk lingkungn yg trjd d sputran pabrik imip dan prtmbngn dsktrxjlnn rusak brdebu dan beceksrta semrautnya lalu lints akibt tdk adax angktan kerja pabriksangat meresahkn masyrakt,negative
Yang Bilang gibran anak kemaren soree mana nihh suaranya kokk malah yang ngaku2 senior yang ciutt wkwkwk,gibran anak kemaren soree mana nihh suara kokk malah yang ngaku senior yang ciutt wkwkwk,negative
"Dari pandangan masyarakat semua menganggap mas gibran tidak bisa debat , dannnn hasilnya mantabb mas gibran ❤😊",pandang masyarakat semua anggap mas gibran tidak bisa debat dannnn hasil mantabb mas gibran,negative
Apeeee ngak jelasss gibralll ne ..😂😂,ngak jelasss gibralll ne,negative
si paling slepett,si paling slepett,negative
Kata2 pamungkas ko pakai teks..wkwkwkw no 2 alami dr hati nurani...,kata pamungkas ko pakai tekswkwkwkw no alami dr hati nurani,negative
"Kok putus"" sihhh",putus sihhh,negative
betul...mari kita clepet yg punya clepet biar g jadi kampret,betulmari kita clepet yg punya clepet biar g jadi kampret,negative
Yg tegas dan benar cuman mas gibran tenang sekali kl bicara .pak mahfud kok emosi berarti gak bisa jawab sm anak muda.,tegas dan benar cuman mas gibran tenang sekali kl bicara pak mahfud kok emosi arti gak bisa jawab sm anak muda,negative
Emosional gibran hampir mirip dengan prabowo. Meski bisa di maklum nya karena jiwa nya masih muda. Yg tidak wajar itu pa prabowo yg tidak bisa meminimalisir rasa emosional nya,gibran hampir mirip dengan prabowo bisa di maklum nya karena jiwa nya masih muda tidak wajar itu pa prabowo yg tidak bisa meminimalisir rasa emosional nya,negative
BAYI ANAK E JOKOWI TOLAH TOLEH JADI APA NEGARA INI.. EMANGNYA INI NEGARANE BAPAK MU A.. MBAHMU A    ...PRUSAK DEMOKRASI....TOLONG JANGAN DI PILIH...02..JGN DI PILIH..YG LAIN TERSERAH...,bayi anak jokowi tolah toleh jadi apa negara ini emang ini negarane bapak mu mbah prusak demokrasitolong jangan di pilihjgn di pilihyg lain serah,negative
